iter	Passed	Remaining
633	4891	2823
634	4899	2816
635	4907	2808
636	4915	2800
637	4922	2793
638	4932	2786
639	4943	2780
640	4951	2772
641	4958	2764
642	4965	2756
643	4972	2748
644	4979	2740
645	4987	2733
646	4995	2725
647	5003	2717
648	5010	2710
649	5018	2702
650	5027	2694
651	5035	2687
652	5043	2680
653	5052	2672
654	5059	2664
655	5066	2656
656	5074	2649
657	5081	2641
658	5088	2632
659	5095	2625
660	5103	2617
661	5110	2609
662	5118	2601
663	5126	2593
664	5133	2586
665	5143	2579
666	5150	2571
667	5158	2563
668	5165	2555
669	5173	2548
670	5180	2540
671	5189	2533
672	5196	2525
673	5204	2517
674	5214	2510
675	5226	2505
676	5235	2497
677	5244	2490
678	5252	2483
679	5259	2475
680	5267	2467
681	5274	2459
682	5283	2452
683	5290	2444
684	5299	2437
685	5307	2429
686	5315	2421
687	5322	2413
688	5331	2406
689	5338	2398
690	5346	2390
691	5353	2382
692	5361	2375
693	5369	2367
694	5376	2359
695	5384	2351
696	5392	2344
697	5400	2336
698	5406	2328
699	5414	2320
700	5422	2312
701	5430	2305
702	5438	2297
703	5446	2290
704	5454	2282
705	5461	2274
706	5468	2266
707	5475	2258
708	5483	2250
709	5491	2242
710	5499	2235
711	5506	2227
712	5514	2219
713	5522	2212
714	5530	2204
715	5537	2196
716	5544	2188
717	5552	2180
718	5559	2172
719	5566	2164
720	5575	2157
721	5582	2149
722	5591	2142
723	5599	2134
724	5607	2127
725	5614	2119
726	5622	2111
727	5630	2103
728	5638	2096
729	5646	2088
730	5654	2080
731	5661	2072
732	5669	2065
733	5677	2057
734	5685	2049
735	5692	2041
736	5699	2033
737	5706	2026
738	5714	2018
739	5722	2010
740	5729	2002
741	5737	1994
742	5745	1987
743	5752	1979
744	5760	1971
745	5768	1964
746	5776	1956
747	5783	1948
748	5791	1940
749	5798	1932
750	5806	1925
751	5813	1917
752	5821	1909
753	5829	1901
754	5837	1894
755	5844	1886
756	5853	1879
757	5861	1871
758	5869	1863
759	5876	1855
760	5885	1848
761	5892	1840
762	5900	1832
763	5907	1824
764	5914	1816
765	5922	1809
766	5930	1801
767	5937	1793
768	5945	1785
769	5952	1778
770	5960	1770
771	5968	1762
772	5975	1754
773	5983	1747
774	5991	1739
775	5998	1731
776	6006	1724
777	6014	1716
778	6022	1708
779	6029	1700
780	6038	1693
781	6045	1685
782	6052	1677
783	6062	1670
784	6070	1662
785	6079	1655
786	6087	1647
787	6096	1640
788	6104	1632
789	6113	1625
790	6121	1617
791	6128	1609
792	6136	1601
793	6144	1594
794	6152	1586
795	6160	1578
796	6168	1571
797	6176	1563
798	6183	1555
799	6191	1547
800	6198	1540
801	6206	1532
802	6213	1524
803	6222	1516
804	6229	1509
805	6238	1501
806	6247	1494
807	6254	1486
808	6262	1478
809	6269	1470
810	6277	1462
811	6285	1455
812	6294	1447
813	6301	1439
814	6310	1432
815	6318	1424
816	6325	1416
817	6333	1409
818	6340	1401
819	6348	1393
820	6356	1385
821	6364	1378
822	6373	1370
823	6380	1362
824	6388	1355
825	6396	1347
826	6404	1339
827	6411	1331
828	6419	1324
829	6427	1316
830	6435	1308
831	6443	1301
832	6452	1293
833	6459	1285
834	6468	1278
835	6476	1270
836	6483	1262
837	6491	1254
838	6499	1247
839	6507	1239
840	6515	1231
841	6525	1224
842	6533	1216
843	6541	1209
844	6548	1201
845	6555	1193
846	6563	1185
847	6572	1178
848	6579	1170
849	6587	1162
850	6593	1154
851	6601	1146
852	6608	1138
853	6615	1130
854	6622	1123
855	6632	1115
856	6640	1108
857	6648	1100
858	6656	1092
859	6664	1084
860	6672	1077
861	6680	1069
862	6687	1061
863	6696	1054
864	6703	1046
865	6710	1038
866	6718	1030
867	6727	1023
868	6734	1015
869	6742	1007
870	6749	999
871	6757	991
872	6764	984
873	6772	976
874	6780	968
875	6787	960
876	6794	953
877	6803	945
878	6811	937
879	6819	929
880	6827	922
881	6835	914
882	6843	906
883	6850	898
884	6859	891
885	6868	883
886	6875	875
887	6883	868
888	6891	860
889	6899	852
890	6906	844
891	6914	837
892	6922	829
893	6929	821
894	6937	813
895	6944	806
896	6952	798
897	6960	790
898	6967	782
899	6975	775
900	6983	767
901	6990	759
902	6998	751
903	7006	744
904	7014	736
905	7022	728
906	7032	721
907	7039	713
908	7049	705
909	7057	697
910	7065	690
911	7072	682
912	7081	674
913	7089	667
914	7096	659
915	7103	651
916	7113	643
917	7120	636
918	7128	628
919	7136	620
920	7143	612
921	7150	604
922	7157	597
923	7165	589
924	7172	581
925	7180	573
926	7187	566
927	7195	558
928	7202	550
929	7210	542
930	7217	534
931	7225	527
932	7233	519
933	7240	511
934	7248	503
935	7255	496
936	7265	488
937	7272	480
938	7280	472
939	7288	465
940	7296	457
941	7303	449
942	7311	441
943	7319	434
944	7327	426
945	7334	418
946	7343	410
947	7350	403
948	7358	395
949	7366	387
950	7373	379
951	7381	372
952	7389	364
953	7396	356
954	7405	348
955	7412	341
956	7420	333
957	7428	325
958	7435	317
959	7443	310
960	7451	302
961	7458	294
962	7466	286
963	7473	279
964	7481	271
965	7488	263
966	7495	255
967	7503	248
968	7512	240
969	7519	232
970	7528	224
971	7535	217
972	7543	209
973	7551	201
974	7559	193
975	7567	186
976	7574	178
977	7581	170
978	7590	162
979	7598	155
980	7605	147
981	7612	139
982	7621	131
983	7628	124
984	7637	116
985	7645	108
986	7653	100
987	7661	93
988	7668	85
989	7676	77
990	7684	69
991	7692	62
992	7700	54
993	7707	46
994	7715	38
995	7724	31
996	7731	23
997	7739	15
998	7746	7
999	7754	0
